囘	huí		
囚	qiú		
四	sì		
囝	jiǎnǀnān		
回	huíǀhui		
囟	xìn		
因	yīn		
囡	nān		
团	tuán		
団	tuán		
囤	túnǀdùn		
囥	kàng		
囧	jiǒng		
囨	piān		
囫	hú		
囬	huí		
园	yuán		
囮	é		
囯	guó		
困	kùn		
囱	cōngǀchuāng		
囲	wéi		
図	tú		
围	wéi		
囵	lún		
囷	qūn		
囹	líng		
固	gù		
国	guó		
图	tú		
囿	yòu		
圂	hùn		
圃	pǔ		
圄	yǔ		
圆	yuán		
圈	quānǀjuànǀquan		
圉	yǔ		
圊	qīng		
圌	chuí		
